symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
LINKUSDT,2022-11-14 01:00:00+00:00,5.946,2022-11-15 09:00:00+00:00,6.5406,10.0,9.8,True,32,1.33,2.602
SHIBUSDT,2022-11-14 01:00:00+00:00,8.84e-06,2022-12-05 05:00:00+00:00,9.724e-06,10.0,9.8,True,508,21.17,2.597
TRXUSDT,2022-11-14 07:00:00+00:00,0.05077,2022-12-10 16:00:00+00:00,0.05584700000000001,10.0,9.8,True,633,26.38,4.255
SOLUSDT,2022-11-14 07:00:00+00:00,14.58,2023-01-09 02:00:00+00:00,16.038,10.0,9.8,True,1339,55.79,4.405
LINKUSDT,2022-11-14 07:00:00+00:00,6.11,2022-11-23 19:00:00+00:00,6.721000000000001,10.0,9.8,True,228,9.5,2.588
DOGEUSDT,2022-11-14 07:00:00+00:00,0.0874,2022-11-27 06:00:00+00:00,0.09614000000000002,10.0,9.8,True,311,12.96,2.664
SHIBUSDT,2022-11-14 07:00:00+00:00,9.3e-06,2023-01-13 06:00:00+00:00,9.49e-06,2.043,1.843,False,1439,59.96,2.814
BTCUSDT,2022-11-14 07:00:00+00:00,16639.75,2022-12-14 18:00:00+00:00,18303.725000000002,10.0,9.8,True,731,30.46,2.982
ETHUSDT,2022-11-14 07:00:00+00:00,1236.84,2023-01-11 23:00:00+00:00,1360.5240000000001,10.0,9.8,True,1408,58.67,2.782
CHZUSDT,2022-11-14 07:00:00+00:00,0.1987,2022-11-15 15:00:00+00:00,0.21857000000000001,10.0,9.8,True,32,1.33,3.098
LTCUSDT,2022-11-14 07:00:00+00:00,56.54,2022-11-17 20:00:00+00:00,62.194,10.0,9.8,True,85,3.54,2.792
APTUSDT,2022-11-14 07:00:00+00:00,4.3056,2022-11-16 16:00:00+00:00,4.736160000000001,10.0,9.8,True,57,2.38,3.024
OPUSDT,2022-11-14 07:00:00+00:00,0.931,2022-12-01 00:00:00+00:00,1.0241000000000002,10.0,9.8,True,401,16.71,2.877
ATOMUSDT,2022-11-14 08:00:00+00:00,10.517,2023-01-11 23:00:00+00:00,11.5687,10.0,9.8,True,1407,58.62,2.59
AVAXUSDT,2022-11-14 08:00:00+00:00,13.15,2023-01-11 19:00:00+00:00,14.465000000000002,10.0,9.8,True,1403,58.46,2.892
BNBUSDT,2022-11-16 15:00:00+00:00,271.8,2022-11-23 11:00:00+00:00,298.98,10.0,9.8,True,164,6.83,2.663
APTUSDT,2022-11-16 17:00:00+00:00,4.6653,2022-12-03 01:00:00+00:00,5.131830000000001,10.0,9.8,True,392,16.33,9.509
AAVEUSDT,2022-11-16 18:00:00+00:00,58.5,2022-11-30 01:00:00+00:00,64.35000000000001,10.0,9.8,True,319,13.29,2.614
MANAUSDT,2022-11-17 00:00:00+00:00,0.4319,2023-01-13 19:00:00+00:00,0.47509000000000007,10.0,9.8,True,1387,57.79,2.521
AXSUSDT,2022-11-17 01:00:00+00:00,7.2,2022-12-05 07:00:00+00:00,7.920000000000001,10.0,9.8,True,438,18.25,3.644
DOGEUSDT,2022-11-17 16:00:00+00:00,0.08406,2022-11-26 00:00:00+00:00,0.092466,10.0,9.8,True,200,8.33,3.546
TRXUSDT,2022-11-17 16:00:00+00:00,0.04933,2022-11-29 07:00:00+00:00,0.054263000000000006,10.0,9.8,True,279,11.62,2.621
