symbol,entry_time,entry_price,max_high,max_rise_pct,days_to_max,reached_5pct,reached_7pct,reached_10pct
XRPUSDT,2023-07-26 19:00:00+00:00,0.7142,0.7358,3.024,3.62,False,False,False
XRPUSDT,2023-07-26 21:00:00+00:00,0.7256,0.7358,1.406,3.54,False,False,False
BTCUSDT,2023-07-30 12:00:00+00:00,29314.0,30244.0,3.173,9.38,False,False,False
BTCUSDT,2023-07-30 15:00:00+00:00,29391.82,30244.0,2.899,9.25,False,False,False
SOLUSDT,2023-07-30 16:00:00+00:00,24.89,25.42,2.129,15.38,False,False,False
ETHUSDT,2023-07-30 16:00:00+00:00,1876.43,1879.74,0.176,2.38,False,False,False
SOLUSDT,2023-07-30 21:00:00+00:00,24.29,25.42,4.652,15.17,False,False,False
ETHUSDT,2023-07-30 21:00:00+00:00,1865.53,1879.74,0.762,2.17,False,False,False
XRPUSDT,2023-07-31 20:00:00+00:00,0.7151,0.7205,0.755,0.0,False,False,False
BNBUSDT,2023-08-01 08:00:00+00:00,245.5,248.8,1.344,0.67,False,False,False
BTCUSDT,2023-08-01 16:00:00+00:00,28953.99,30244.0,4.455,7.21,False,False,False
ETHUSDT,2023-08-01 16:00:00+00:00,1834.59,1879.74,2.461,0.38,False,False,False
SOLUSDT,2023-08-01 16:00:00+00:00,23.27,25.42,9.239,13.38,True,True,False
SOLUSDT,2023-08-02 17:00:00+00:00,23.0,25.42,10.522,12.33,True,True,True
BNBUSDT,2023-08-02 18:00:00+00:00,241.2,248.0,2.819,6.0,False,False,False
BTCUSDT,2023-08-07 17:00:00+00:00,28937.99,30244.0,4.513,1.17,False,False,False
BTCUSDT,2023-08-07 19:00:00+00:00,29094.42,30244.0,3.951,1.08,False,False,False
BNBUSDT,2023-08-11 17:00:00+00:00,239.4,241.8,1.003,2.12,False,False,False
SOLUSDT,2023-08-13 17:00:00+00:00,24.49,25.42,3.797,1.33,False,False,False
SOLUSDT,2023-08-14 01:00:00+00:00,24.33,25.42,4.48,1.0,False,False,False
BTCUSDT,2023-08-14 02:00:00+00:00,29268.0,29695.32,1.46,0.58,False,False,False
BNBUSDT,2023-08-15 13:00:00+00:00,239.1,239.8,0.293,0.04,False,False,False
